AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Северный административный округ,район Коптево,Государственное бюджетное образовательное учреждение города Москвы «Специальное учебно-воспитательное общеобразовательное учреждение для обучающихся с девиантным (общественно опасным) поведением № 1»,2,2016-2017,797367392
Северный административный округ,район Коптево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1223»,116,2016-2017,797367458
Северный административный округ,район Левобережный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 158»,42,2016-2017,797367525
Северный административный округ,Савёловский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1601 имени Героя Советского Союза Е.К. Лютикова»,67,2016-2017,797367609
Северный административный округ,район Ховрино,Государственное бюджетное общеобразовательное учреждение города Москвы школа № 648 имени Героя Российской Федерации А.Г. Карлова»,66,2016-2017,797367680
Восточный административный округ,район Восточное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа самоопределения № 734 имени А.Н. Тубельского»,31,2016-2017,797367753
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1078»,40,2016-2017,797367813
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 633»,17,2016-2017,797367883
Восточный административный округ,район Косино-Ухтомский,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»,24,2016-2017,797367940
Восточный административный округ,район Метрогородок,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1246»,65,2016-2017,797368002
Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1200»,92,2016-2017,797368071
Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1925»,46,2016-2017,797368148
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»,79,2016-2017,797368198
Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1563»,84,2016-2017,797368260
Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 356 имени Н.З. Коляды»,53,2016-2017,797368303
Восточный административный округ,район Сокольники,Автономная некоммерческая организация средняя общеобразовательная школа «Академическая гимназия»,12,2016-2017,797368380
Восточный административный округ,район Сокольники,Частное учреждение общеобразовательная организация «Европейская гимназия»,12,2016-2017,797368430
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1593»,66,2016-2017,797368526
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1371 «Крылатское»,63,2016-2017,797368569
Западный административный округ,район Кунцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 887»,149,2016-2017,797368605
Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 809»,47,2016-2017,797368661
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1376»,61,2016-2017,797368722
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1432»,43,2016-2017,797368786
Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1953 «Москва-98»,74,2016-2017,797368853
Западный административный округ,район Раменки,Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1306»,40,2016-2017,797368918
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»,94,2016-2017,797369017
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 38»,21,2016-2017,797369060
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 74»,4,2016-2017,797369128
Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»,54,2016-2017,797369192
Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1542»,218,2016-2017,797369258
Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»,82,2016-2017,797369327
Зеленоградский административный округ,район Силино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»,47,2016-2017,797369383
Зеленоградский административный округ,район Старое Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»,31,2016-2017,797369439
Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С. Макаренко»,77,2016-2017,797369489
Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,28,2016-2017,797369544
