ID,EDU_NAME,global_id,YEAR,AdmArea,District,PASSES_OVER_220,PASSER_UNDER_160
13078,Частное общеобразовательное учреждение «Православный центр образования Святителя Николая Чудотворца»,2603023803,2022-2023,Южный административный округ,район Бирюлёво Западное,1,2
13079,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 867»,2603023804,2022-2023,Южный административный округ,район Братеево,23,47
13080,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 1 (техникум)» Департамента спорта города Москвы,2603023805,2022-2023,Восточный административный округ,район Восточное Измайлово,2,6
13081,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»,2603023806,2022-2023,Восточный административный округ,район Перово,10,30
13082,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 56 имени академика В.А. Легасова»,2603023808,2022-2023,Западный административный округ,район Дорогомилово,46,95
13083,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 67»,2603023809,2022-2023,Западный административный округ,район Дорогомилово,103,135
13084,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1584»,2603023810,2022-2023,Западный административный округ,район Кунцево,58,105
13085,Общеобразовательное Частное учреждение «Гимназия во имя апостола и евангелиста Иоанна Богослова»,2603023811,2022-2023,Западный административный округ,район Кунцево,2,4
13086,Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская школа № 1448»,2603023813,2022-2023,Западный административный округ,район Раменки,72,130
13087,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»,2603023815,2022-2023,Западный административный округ,район Солнцево,39,70
13088,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»,2603023816,2022-2023,Зеленоградский административный округ,район Крюково,12,44
13089,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С. Макаренко»,2603023819,2022-2023,Северный административный округ,Бескудниковский район,18,44
13090,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Дмитровский» имени Героя Советского Союза В.П. Кислякова»,2603023820,2022-2023,Северный административный округ,Дмитровский район,36,78
13091,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1576»,2603023822,2022-2023,Северный административный округ,район Коптево,85,170
13092,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 281»,2603023823,2022-2023,Северо-Восточный административный округ,Бабушкинский район,15,45
13093,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Бибирево»,2603023825,2022-2023,Северо-Восточный административный округ,район Бибирево,13,60
13094,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное спортивное училище № 4 имени А.Я. Гомельского» Департамента спорта города Москвы,2603023826,2022-2023,Северо-Восточный административный округ,район Бибирево,4,8
13095,Государственное автономное общеобразовательное учреждение города Москвы «Школа «ШИК 16»,2603023828,2022-2023,Северо-Восточный административный округ,Останкинский район,21,35
13096,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»,2603023829,2022-2023,Северо-Восточный административный округ,район Северное Медведково,38,87
13097,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1358»,2603023830,2022-2023,Северо-Западный административный округ,район Митино,58,105
13098,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»,2603023832,2022-2023,Северо-Западный административный округ,район Митино,50,105
13099,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1155»,2603023833,2022-2023,Северо-Западный административный округ,район Строгино,15,35
13100,Автономная некоммерческая организация средняя общеобразовательная школа «Ювенес»,2603023835,2022-2023,Северо-Западный административный округ,район Щукино,2,2
13101,Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»,2603023836,2022-2023,Северо-Западный административный округ,район Щукино,108,172
13102,Автономная некоммерческая организация «Православная общеобразовательная школа-пансион «Плесково»,2603023837,2022-2023,Троицкий административный округ,поселение Михайлово-Ярцевское,9,9
13103,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»,2603023838,2022-2023,Новомосковский административный округ,поселение Сосенское,17,35
13104,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2117»,2603023840,2022-2023,Новомосковский административный округ,поселение Щербинка,16,51
13105,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет» Высшая школа экономики». лицей Национального исследовательского университета» Высшая школа экономики»,2603023841,2022-2023,Центральный административный округ,Басманный район,598,663
13106,Государственное бюджетное общеобразовательное учреждение города Москвы «Инженерная школа № 1581»,2603023843,2022-2023,Центральный административный округ,Таганский район,127,169
13107,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 179»,2603023844,2022-2023,Центральный административный округ,Тверской район,87,101
13108,Общеобразовательная автономная некоммерческая организация «Елизаветинская гимназия»,2603023846,2022-2023,Центральный административный округ,район Якиманка,2,3
13109,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1228 «Лефортово»,2603023847,2022-2023,Юго-Восточный административный округ,район Лефортово,51,116
13110,Государственное бюджетное общеобразовательное учреждение города Москвы «Марьинская школа № 1566 памяти Героев Сталинградской битвы»,2603023849,2022-2023,Юго-Восточный административный округ,район Марьино,61,150
